ev_id,origin_time_utc,evla,evlo,evdep_km,mag,n_picks
618541738,2020-06-13T09:15:49.50,-8.9603,117.8563,28.2,,14
618541935,2020-06-14T14:43:08.60,23.2931,70.4382,17.3,5.6,11
618541936,2020-06-14T14:24:28.51,39.3754,40.7352,1.0,5.8,16
618541946,2020-06-14T13:25:23.44,2.6767,128.2212,123.4,,12
618541960,2020-06-14T03:35:19.49,-9.0766,124.0690,78.9,,12
618542269,2020-06-15T06:51:31.75,39.3839,40.7275,9.6,5.5,11
618542280,2020-06-15T04:15:43.73,1.3135,128.0867,124.3,5.6,22
618542353,2020-06-15T10:37:33.26,-9.4695,156.1802,13.8,5.5,12
618542971,2020-06-16T01:30:46.98,37.7775,72.3255,118.3,5.5,19
618544181,2020-06-16T14:30:25.59,27.2367,34.6933,7.5,,13
618550810,2020-06-18T12:49:55.87,-33.3665,-177.8396,19.8,7.3,31
618550819,2020-06-18T16:11:40.32,-33.3265,-177.8922,13.6,5.8,10
618551270,2020-06-19T03:08:32.72,51.2279,-179.0590,40.1,5.5,16
618551675,2020-06-19T10:07:55.26,-17.4953,-178.7733,545.5,,22
618557370,2020-06-20T19:26:22.69,66.2102,-18.5543,8.5,5.5,12
618557396,2020-06-20T15:45:10.10,-9.4830,156.0351,10.0,,18
618560737,2020-06-21T19:07:55.89,66.4004,-18.6392,9.0,5.9,19
618560738,2020-06-21T22:40:52.94,23.1642,93.2569,13.8,5.7,25
618560743,2020-06-21T19:33:06.57,-8.9255,110.9067,82.4,5.5,29
618570070,2020-06-23T07:43:28.75,0.1130,123.7961,113.7,6.1,31
618587181,2020-06-24T17:40:50.59,36.4495,-117.9772,10.6,5.5,10
618591141,2020-06-25T21:05:19.53,35.5383,82.4025,18.0,6.2,35
618591173,2020-06-26T07:21:12.52,38.7716,27.8152,11.5,,10
618636357,2020-06-28T17:43:28.33,36.6041,28.2681,65.8,,10
618655993,2020-07-04T01:34:45.91,-9.7440,154.9229,17.0,,13
618656140,2020-07-04T19:09:21.91,-9.0239,112.2936,95.7,,25
618656151,2020-07-04T09:53:00.22,39.0614,70.9718,10.8,6.4,17
618656296,2020-07-05T08:53:34.63,53.2217,-160.4082,15.1,5.6,21
618656301,2020-07-05T05:34:06.17,2.6061,128.2336,76.7,,13
618657037,2020-06-07T20:06:39.04,-5.3111,151.5949,58.6,5.6,34
618657043,2020-06-10T04:29:21.01,-23.4930,179.2660,552.6,,28
618657053,2020-06-17T06:24:18.66,-16.0802,-174.9281,291.9,,15
618657069,2020-06-18T15:06:15.35,-33.3044,-177.8378,11.1,5.6,11
618661568,2020-07-06T22:54:46.71,-5.6679,110.5937,538.2,6.1,35
618665512,2020-07-07T09:56:10.21,-7.0393,125.0383,517.6,,13
618677336,2020-07-09T16:08:22.73,-6.6440,128.7538,250.0,,17
618678075,2020-07-10T06:29:43.09,-2.6657,68.0908,11.1,5.9,22
618679383,2020-07-13T00:58:45.66,5.1692,94.2613,33.1,,22
618680780,2020-07-14T23:33:58.80,-7.2305,120.4353,603.9,5.7,28
618683061,2020-07-17T02:50:22.76,-7.9502,147.7449,85.2,6.7,56
618684830,2020-07-17T18:33:00.59,12.0880,95.0020,14.0,5.6,30
618684837,2020-07-17T14:03:41.55,11.7592,95.0553,8.0,6.1,19
618685967,2020-07-18T01:37:14.76,-10.3926,161.3446,50.2,5.5,34
618686261,2020-07-18T15:32:39.70,-15.5001,-172.9951,16.8,6.1,45
